symbol,reit_name,stock_exchange,type,sector,country,data_centers,diversified,health_care,hotel,industrial,infrastructure,mortgage,office,residential,resorts,retail,self_storage,timber,specialty
ANH,Anworth Mortgage Asset Corporation,NYSE,Mortgage REIT,Mortgage,United States,,,,,,,Y,,,,,,,
BXMT,"Blackstone Mortgage Trust, Inc.",NYSE,Mortgage REIT,Mortgage,United States,,,,,,,Y,,,,,,,
CMO,Capstead Mortgage Corporation,NYSE,Mortgage REIT,Mortgage,United States,,,,,,,Y,,,,,,,
DX,"Dynex Capital, Inc.",NYSE,Mortgage REIT,Mortgage,United States,,,,,,,Y,,,,,,,
MFA,"MFA Mortgage Investments, Inc.",NYSE,Mortgage REIT,Mortgage,United States,,,,,,,Y,,,,,,,
NLY,"Annaly Capital Management, Inc.",NYSE,Mortgage REIT,Mortgage,United States,,,,,,,Y,,,,,,,
RWT,"Redwood Trust, Inc.",NYSE,Mortgage REIT,Mortgage,United States,,,,,,,Y,,,,,,,
HMG,"HMG Courtland Properties, Inc.",NYSE,Mortgage REIT,"Mortgage, Diversified",United States,,Y,,,,,Y,,,,,,,
IMH,"Impac Mortgage Holdings, Inc.",NYSE,Mortgage REIT,Mortgage,United States,,,,,,,Y,,,,,,,
AI,Arlington Asset Investment Corp.,NYSE,Mortgage REIT,Mortgage,United States,,,,,,,Y,,,,,,,
ADC,Agree Realty Corp.,NYSE,Equity REIT,Retail,United States,,,,,,,,,,,Y,,,
AIV,Apartment Investment & Management Co. (Aimco),NYSE,Equity REIT,Residential,United States,,,,,,,,,Y,,,,,
AKR,Acadia Realty Trust,NYSE,Equity REIT,Retail,United States,,,,,,,,,,,Y,,,
ALX,Alexander's Inc.,NYSE,Equity REIT,Diversified,United States,,Y,,,,,,,,,,,,
AMT,American Tower Corp,NYSE,Equity REIT,Infrastructure,United States,,,,,,Y,,,,,,,,
ARE,"Alexandria Real Estate Equities, Inc.",NYSE,Equity REIT,Office,United States,,,,,,,,Y,,,,,,
AVB,"AvalonBay Communities, Inc.",NYSE,Equity REIT,Residential,United States,,,,,,,,,Y,,,,,
BDN,Brandywine Realty Trust,NYSE,Equity REIT,"Office, Residential",United States,,,,,,,,Y,Y,,,,,
BFS,"Saul Centers, Inc.",NYSE,Equity REIT,Retail,United States,,,,,,,,,,,Y,,,
BXP,Boston Properties,NYSE,Equity REIT,"Office, Residential, Hotel, Retail, Diversified",United States,,Y,,Y,,,,Y,Y,,Y,,,
CBL,"CBL & Associates Properties, Inc.",NYSE,Equity REIT,Retail,United States,,,,,,,,,,,Y,,,
CDR,"Cedar Realty Trust, Inc.",NYSE,Equity REIT,Retail,United States,,,,,,,,,,,Y,,,
CLI,Mack-Cali Realty Corp,NYSE,Equity REIT,"Office, Residential, Retail, Hotel",United States,,,,Y,,,,Y,Y,,Y,,,
CMCT,CIM Commercial Trust Corp,NASDAQ,Equity REIT,"Office, Hotel, Residential",United States,,,,Y,,,,Y,Y,,,,,
CPT,Camden Property Trust,NYSE,Equity REIT,Residential,United States,,,,,,,,,Y,,,,,
CUZ,Cousins Properties,NYSE,Equity REIT,Office,United States,,,,,,,,Y,,,,,,
CXW,Corrections Corp of America (CoreCivic),NYSE,Equity REIT,Specialty,United States,,,,,,,,,,,,,,Y
DRE,Duke Realty Corporation,NYSE,Equity REIT,Industrial,United States,,,,,Y,,,,,,,,,
EGP,"EastGroup Properties, Inc.",NYSE,Equity REIT,Industrial,United States,,,,,Y,,,,,,,,,
ELS,"Equity Lifestyle Properties, Inc.",NYSE,Equity REIT,Residential,United States,,,,,,,,,Y,,,,,
EPR,"Entertainment Properties Trust, Inc.",NYSE,Equity REIT,"Specialty, Diversified",United States,,Y,,,,,,,,,,,,Y
EQC,Equity Commonwealth,NYSE,Equity REIT,Office,United States,,,,,,,,Y,,,,,,
EQR,Equity Residential,NYSE,Equity REIT,Residential,United States,,,,,,,,,Y,,,,,
ESS,"Essex Property Trust, Inc.",NYSE,Equity REIT,Residential,United States,,,,,,,,,Y,,,,,
FR,"First Industrial Realty Trust, Inc.",NYSE,Equity REIT,Industrial,United States,,,,,Y,,,,,,,,,
FRT,Federal Realty Investment Trust,NYSE,Equity REIT,Retail,United States,,,,,,,,,,,Y,,,
GEO,"The Geo Group, Inc.",NYSE,Equity REIT,Specialty,United States,,,,,,,,,,,,,,Y
GTY,Getty Realty Corp.,NYSE,Equity REIT,Retail,United States,,,,,,,,,,,Y,,,
GYRO,"Gyrodyne Company of America, Inc.",NASDAQ,Equity REIT,"Industrial, Office, Health Care, Diversified",United States,,Y,Y,,Y,,,Y,,,,,,
WELL,"Welltower, Inc.",NYSE,Equity REIT,Health Care,United States,,,Y,,,,,,,,,,,
HIW,"Highwoods Properties, Inc.",NYSE,Equity REIT,"Office, Industrial, Retail",United States,,,,,Y,,,Y,,,Y,,,
HR,"Healthcare Realty Trust, Inc.",NYSE,Equity REIT,Health Care,United States,,,Y,,,,,,,,,,,
HST,"Host Hotels & Resorts, Inc.",NYSE,Equity REIT,"Hotel, Resorts",United States,,,,Y,,,,,,Y,,,,
IHT,Innsuites Hospitality Trust,NYSE,Equity REIT,"Resorts, Hotel",United States,,,,Y,,,,,,Y,,,,
IRET,"Investors Real Estate Trust, Inc.",NYSE,Equity REIT,"Diversified, Residential, Office, Retail, Health Care",United States,,Y,Y,,,,,Y,Y,,Y,,,
IRM,"Iron Mountain, Inc.",NYSE,Equity REIT,"Specialty, Data Centers",United States,Y,,,,,,,,,,,,,Y
KIM,"Kimco Realty Corp, Inc.",NYSE,Equity REIT,Retail,United States,,,,,,,,,,,Y,,,
KRC,"Kilroy Realty Corp, Inc.",NYSE,Equity REIT,"Office, Residential",United States,,,,,,,,Y,Y,,,,,
LPT,"Liberty Property Trust, Inc.",NYSE,Equity REIT,Industrial,United States,,,,,Y,,,,,,,,,
LSI,"Life Storage, Inc.",NYSE,Equity REIT,Self Storage,United States,,,,,,,,,,,,Y,,
LTC,"LTC Properties, Inc.",NYSE,Equity REIT,"Health Care, Diversified",United States,,Y,Y,,,,,,,,,,,
LXP,"Lexington Realty Trust, Inc.",NYSE,Equity REIT,"Diversified, Office, Industrial, Retail",United States,,Y,,,Y,,,Y,,,Y,,,
